Дата прохождения,Респондент,"Я знаю, чего от меня ожидает компания",Мой руководитель ставит четкие цели для нашей команды,"Я вижу прямую связь между тем, что я делаю и успехами компании","В компании есть тот, кто помогает мне развиваться профессионально","Мой руководитель дает мне обратную связь, которая помогает улучшить мою работу","Я знаю, как пройти обучение и с кем в компании можно его обсудить",В компании есть возможности для моего роста и развития,Компания предоставляет мне все необходимые ресурсы для работы,Меня устраивает мой компьютер и остальная рабочая техника,"Если в работе что-то идет не по плану, я всегда знаю, кого попросить о помощи",Мой руководитель регулярно делится со мной актуальной информацией о целях компании,"Я понимаю, куда движется компания и как она планирует развиваться",Я узнаю новости о изменениях в компании вовремя,"Я знаю, какие роли у ребят в других командах и какими навыками они обладают","Если я захочу найти в компании эксперта в какой-то области, то легко это сделаю, даже не зная его имени",Я общаюсь с коллегами за пределами своей команды и/или рабочей группы,У меня на работе есть друг,В большинстве случаев мои коллеги качественно выполняют свою работу,Коллеги всегда оперативно реагируют на мои сообщения и не пропускают их,Я никогда не пропускаю сообщения от коллег или руководителя,"Я всегда знаю, в какой чат мне написать с вопросом или предложением",Меня никогда не забывали добавить в нужный рабочий чат,Я готов рекомендовать нашу компанию своим друзьям и знакомым,Какие изменения за последний год тебя порадовали?,Что тебе нравится в компании меньше всего?,"Есть ли в компании что-то, что тормозит твою работу?",Оставь любой комментарий и мы его прочитаем :)
2022-12-02 12:48:08,Респондент 111,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,,,,
2022-11-30 16:53:22,Респондент 16,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,"новый офис, мероприятия направленные на обучение (но они были единожды), мероприятия направленные на общение руководства с сотрудниками (тоже быстро закончилось), хороший летний корпоратив.","Неслаженное взаимодействие между отделами, проблемы в рабочих процессах","Плохое взаимодействие между отделами (коммуникация страдает), отсутствие планирования и придержанности срокам.",Вы молодцы! :D
2022-12-02 19:36:46,Респондент 150,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,я работаю только месяц,нет хлеба на кухне,,
2022-11-30 16:49:11,Респондент 47,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Внедрение велком-тренингов, процесса онбординга
Запуск пилотных тренингов",,Постоянная накладка новых задач на существующие,
2022-12-02 12:47:52,Респондент 110,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
2022-11-30 18:41:17,Респондент 86,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,,,,
2022-12-02 15:04:06,Респондент 59,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,,,,
2022-11-30 17:56:13,Респондент 78,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,"Новый офис, появились процессы",,,Соня <3
2022-12-02 12:54:34,Респондент 119,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,,,,
2022-12-02 12:49:28,Респондент 116,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,,,да,
2022-11-30 16:48:49,Респондент 40,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,"Изменения, которые я успел пережить - это переезд в другой офис. В целом стараюсь пользоваться всеми привилегиями и возможностями компании для личностного и профессионального роста: спорт (футбол, падел), ДМС, SkyEng, совместные бизнес ланчи (но они уже закончились)","Нравится абсолютно все, доволен на максимум",нет,Все супер!)
2022-12-01 08:18:52,Респондент 95,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,"Появился ДМС - очень здорово, но маловато клиник. Новый офис. Подземный паркинг в новом офисе.","Новый кофе в красивых черных и белых упаковках - отвратительные кисляк. Из горшков с растениями летят мошки (видимо плохой грунт или просто не подходит для комнатных растений). Новый офис неудобно расположен, локация не самая удачная. Добираться теперь приходится гораздо дольше. Лучше бы мы переехали в Artplay или Красный Октябрь.",SourceTree и постоянные переключения между ветками в проекте для выполнения новой задачи.,Хочу более современный компьютер. Хочу нормальный кофе. Если еще и зп повысят - будет супер!
2022-12-02 16:35:04,Респондент 145,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,"дмс, бесплатные коды на Ясно, хороший корпоратив на др, новый офис",,,
2022-11-30 17:37:04,Респондент 73,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,"Новый офис, новые ноуты",Кофе,Нет,
2022-12-02 10:38:38,Респондент 106,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Да,,,,
2022-11-30 16:49:57,Респондент 39,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Появление тренингов и дмс,,,
2022-12-02 12:49:45,Респондент 120,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Новый офис,Эппл,Нет,
2022-12-02 13:09:27,Респондент 128,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Да,Да,Нет,Да,Да,Да,Нет,Да,ДМС и новый офис,"Отсутствие чёткого видения в некоторых вопросах. 
Негибкая позиция по удалёнке. 
Проецирование своего опыта и ресурсов при оценке задач, в следствии чего, оценка может кардинально отличаться от реальности",Историческое наследие проекта ,Приветики HR отделу :)
2022-11-30 16:50:21,Респондент 53,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Кама Conf, отношение компании к сотрудникам во время мобилизации",На удаленке нет Ясно и Skyeng; на удаленке выплата раз в месяц; все еще не релоцировались в Дубай к шейхам)) ,Нет,"Очень все нравится, спасибо большое, дай бог вам здоровья"
2022-12-01 12:24:07,Респондент 56,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Возможность Day-off, индексация ЗП ","Отсутствие материального стимулирования, отсутствие четких процессов и ответственных лиц - и необходимость тратить время и силы на их поиски.   ",Аналогично вопросу 25. ,
2022-12-02 07:30:14,Респондент 102,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,"Дмс, Новый офис.",,,
2022-12-02 13:10:00,Респондент 123,Да,Да,Нет,Да,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Нет,Да,Индексация заработной платы,Затрудняюсь ответить,Затрудняюсь ответить,
2022-11-30 16:58:34,Респондент 24,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Переезд,"Хотелось бы кухню побольше, больше места на ней, 3ю микроволновку (и в целом уюта)
переговорки с понятными обозначениями, 
экраны и камеры в переговорах, чтобы было удобнее созваниваться с теми, кто из дома (для Дейли митингов и не только)
Также чуть кастомнуей офис хотелось бы - пуфики, диванчики и вот это вот все удобное ИТшное
дартс, пинг понг и тд, что-то такое","кажется, что нет",ну и ковра конечно не хватает в отделе аналитики
2022-12-05 12:15:02,Респондент 160,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,,"Отсутствие коммуникации между отделом поддержки и другими отделами, отсутствие возможности горизонтального роста между отделами. Нет возможности попасть хотя бы на бесплатную стажировку к более узким и опытным спецам.",Нет.,
2022-12-02 12:55:23,Респондент 115,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Новый офис - бомба!
У меня появился помощник Федя - бомба!
",нет такого,только я :),"На все вопросы я голосовал под давлением! (давление хорошее, 80 на 120)"
2022-12-02 15:47:29,Респондент 138,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,"- изменение подхода к организации работы команд
- новый офис
- KamaConf",- отсутствие прозрачности ряда бизнес-процессов,,да норм все в общем. 
2022-11-30 16:53:28,Респондент 51,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,"Бесплатный Ясно, правда уже не совсем)
Индексация
Конференции и корпоративы
Ланч бадди","Отсутствие гибкости
Наличие людей, не готовых к изменению и развитию
Отсутствие удаленной работы
Отсутствие пересмотра заработной платы каждое полугодие / год","Долгие ответы от некоторых людей, а в целом нет",Без комментариев
2022-12-02 12:46:50,Респондент 109,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Да,Нет,Да,Да,Да,Да,,,,
2022-12-05 12:08:06,Респондент 157,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Все изменения происходят только в лучшую сторону. Наша команда всегда прислушивается к советам и пожеланиям всех сотрудников. Я очень рада быть частью этой компании. Спасибо! ,,,
2022-12-05 12:13:23,Респондент 8,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Хотел бы написать радуют всегда товарищи по команде, очень хороший коллектив! Коллеги по отделу, а так же команда саппорта топовые)",,,Хорошего дня!)
2022-12-02 20:16:36,Респондент 152,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
2022-11-30 21:49:27,Респондент 93,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,,,,
2022-12-02 15:18:08,Респондент 134,Да,Нет,Да,Да,Нет,Да,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Нет,дмс,"- Отсутсвие удаленки 
- Отсутствие возможности нормально релокейта
- Плохо прописанные задачи",Да,-
2022-12-02 12:00:41,Респондент 107,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,,,,
2022-12-01 11:39:16,Респондент 98,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Спасибо за страховку!,"По-прежнему мало прозрачности, информация скудно распространяется.","Иногда другие люди, но чаще нет.",
2022-11-30 16:54:35,Респондент 36,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,,,,
2022-11-30 17:06:19,Респондент 32,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,"КамаКонф
Период Ясно бесплатный
Удаленка и мобилизация","Не понятны цели
Нет структуры
Не всегда определены зоны ответ-ти
Не прозрачная система мотивации и грейдов (их нет)
Не ясна миссия компании и не обозначены ценности
Корпоративная культура меняется от отдела к отделу и местами очень токсичная
Закостенелые ключевые сотрудники компании и изменения даются тяжело или не даются вовсе
Корпоративный месседжер в виде телеграма не удобен

На удаленке работаешь как одинокий сыч: нет никакой соц активности со стороны компании, помощи в организации рабочего места и возможностей купить технику. Если в другой стране ломается твоя, то приходится очень оперативно изыскивать средства на покупку новой, иначе продолжать работать просто нет возможности. Дисбаланс в соц пакете: офисным сотрудникам соц пакет, ивенты и обеспечение напитками и снеками, удаленным - отсутствие страховки, соц пакета, амортизация своего оборудования, счета за электричество, кондишку, интерент, покупку стола и кресла, нет ничего из компенсации еды, которая есть у других, в случае поломки техники и мебели - поддержи от компании тоже нет. Пренебрежение к работе сотрудникам на уленке ""а-ля"" не видит как работают, вату катают. В то время как в офисе треп в столовке, перекуры. (Наболело суммарно по ряду различных проявлений со стороны руководителей и отказа покупки техники компанией). При том, что зарплаты одинаковые и вклад равный в развитие продуктов компании.
Вся работа по созданию атмосферы в отделе удаленным сотрудникам, проблемам возникающим в следствие изолированности ложится на рук-ля отдела. 

Нелогичное решение со стороны уплаты налогов удаленщикам. По налоговому законодательству разных стран - самозанятые должны уплачивать налоги. И связь с компанией и работу доказать очень просто в мировом суде и британском праве, к которому наша компания относится. Сейчас налоги отданы на откуп самим сотрудникам под 13%, но не везде 13% и не все знают как их уплачивать. Как делают другие международные компании: юрист занимается поддержкой выплат налогов в других странах и консультирует сотрудников, зп  платится в соответствии с налоговым обложением этой страны. Если у сотрудника возникнут миграционные проблемы в связи с неуплатой - он пойдет к нам, а еще поимеет очень много проблем из-за ухода от налогов. Сейчас выглядит так, что компания пытается выехать на налоге 13%, потому что работает с россиянами, но это в корне не верная политика, которая может обернуться очень неприятными последствиями. Касаемо законов страны, где я пребываю, судится будет налоговый орган с кама геимз, и все расходы понесет кама геимз, потому что то, что она делает - незаконно. Рекомендую серьезно пересмотреть список стран где находятся наши сотрудники и список требований к самозанятыми в этой стране. А так же выдать рекомендации людям по уплате налогов.","долгие принятия решений в компании
не популярные решения (отказ от корп мессенджера, хаос в структуре, отсутствие найма девушек, большой дисбаланс в опытности и компетентности руководителей, некоторые как северный и южный полюс - настолько большая разница)",да пребудет с вами сила джедая
2022-11-30 17:48:12,Респондент 75,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,новый офис,непрозрачность и сильный разброс в соотношения выполняемой работы/отвественности и зарплаты,,
2022-12-02 17:42:29,Респондент 147,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,"Больше обучающих созвонов это хорошо, освежает память по вопросам, с которыми редко сталкиваемся.",-,-,
2022-12-02 19:52:18,Респондент 76,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Да,"Более широкий офис, хороший коллектив.","Нет курилки, долгие лифты.",ЛИФТЫ,"СОНЯ ЗЕ БЕСТ. Нет, она не стоит рядом с пистолетом. ТОЧНО НЕТ.

Памагите."
2022-11-30 19:58:14,Респондент 90,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Я не работал в компании год назад.,Лифты и курить на морозе.,"Отсутствие систематизированной документации по фичам , часть описана часть нет. Отсутствие полной технической документации по системе верстки интерфейсов.","В прошлой компании централизованно заказывали обеды , все обедали начиная с определенного времени, по мере наличия на кухне свободных мест ,и еще оставалось на ужин. Было очень удобно , и можно было за обедом о чем нибудь поговорить и болеменее узнать коллег. 

Так же холодильник был набит сырами , нарезкой и тд. Можно было с утра придти и сьесть бутер или больше, если хотелось.

Так же были практически каждодневные вечерние кальяны, эффект в общем та тот же.

Мне очень понравились такие практики :)"
2022-12-02 12:57:28,Респондент 121,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,"минимизация бюрократии, оценка по достоинству качество моей работы в материальном и моральном смысле.",Роль Исполнительного директора,Исполнительный директор,
2022-12-01 15:35:14,Респондент 12,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,"Повысили качество кода. Это касается как стиля, так и архитектуры. Начали активнее пользоваться jira и confluence.
","То, что не используются нейросетки.",Нет,Хотелось бы видеть микроволновку в кофепоинте возле дизайнеров.
2022-12-02 15:20:39,Респондент 2,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Бесплатный Ясно и увеличение скидки, камаконф, помощь сотрудникам при мобилизации, просторный офис, мое развитие",-,-,<3
2022-12-02 19:26:59,Респондент 92,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,"обучение
культура, которую транслируют hr
дмс
портал
камаконф
переговорки в новом офисе
","
","невыстроенная коммуникация между командами
отсутствие синхронизации (транслируемого единого инфополя) от топов компании",Соня классная
2022-12-01 09:10:58,Респондент 43,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да,Да,Да,Да,"Не могу ответить, не работаю больше года",,"Периодическая недоступность других людей, от которых зависит твоя работа. Но они же люди, их нельзя заставить постоянно быть доступными",
2022-11-30 16:47:44,Респондент 3,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"ДМС, новый офис, рост команды",Некоторые шаги и флоу стали излишне бюрократическими,нет,"В основном все отлично, коллеги прекрасные, условия хорошие, ничто не мешает пилить топовый продукт. Хотелось бы понимать насколько долго мы еще будем лояльными к удаленной работе, чтобы подготовить запасные планы в это непростое время. "
2022-12-09 15:06:38,Респондент 28,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,,,,
2022-11-30 19:42:08,Респондент 89,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,"- Проведение конференции. Помогает синхронизироваться не погруженным сотрудникам, особенно удаленщикам. 
- Попытки уравнять офисных и удаленных сотрудников, хотя бы частично) 
- Несколько любопытных тренингов","- Непрозрачность некоторых процессов в организационных вопросах.
- Отсутствие процессов выстраивание гибридной/удаленной работы. 
- Сотрудники, которые находятся вне субординации и решают рабочие вопросы только по ""Щучьему веленью"".","- Не всегда понятно, в каком приоритете находится твоя задача, что может послужить причиной ее сдвига. Обратная связь от некоторых отделов
",Всем добра)
2022-12-02 14:56:28,Респондент 131,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,порадовала Кама конф,,,
2022-12-02 13:02:45,Респондент 64,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,"Не знаю, год не прошел","Скандалы, интриги, расследования))",Да,
2022-11-30 16:47:37,Респондент 45,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,"не так давно, чтобы ответить",затрудняюсь ответить,нет,ы
2022-12-02 19:39:46,Респондент 148,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,"Я работаю только два месяца, пока кардинальных изменений не застал.",Нет хлеба на кухне.,"Нет, все позволяет работать в моем темпе.",
2022-11-30 17:04:42,Респондент 57,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да,,"Не хватает согласованности между отделами. Бывают ситуации, когда из-за не хватки информации о загрузки отделов поставленная задача на тот или иной отдел сильно влияет на рабочие процессы внутри этого отдела. В свою очередь это снижает КПД и может повлиять на взаимоотношения между отделами в худшую сторону.",,"В целом мне все нравится, не всегда все понятно, но компания лояльно относится к желанию разобраться в чем либо. Коллектив отзывчив и помогает разобраться с вопросами быстрее. Из-за нехватки согласованности иногда возникает напряжение между отделами, но в целом лечится обсуждением возникших проблем между отделами. "
2022-11-30 16:52:08,Респондент 17,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,только начал работать с:,"СКД не учитывает что курящим людям необходимо много времени тратить на такие вещи как ожидание лифта и время дойти до курилки из-за этого тяжело укладывать перерывы в 1 час и получается, что задерживаешься на работе",Нет,⊂◉ ‿ ◉つ
2022-12-02 16:21:24,Респондент 144,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
2022-12-06 14:53:09,Респондент 170,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,новый офис!,,,хочу сказать БОЛЬШОЕ СПАСИБО! за качественный подход к работе и поддержку сотрудников!)
2022-11-30 16:56:05,Респондент 34,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Да,"Новый офис, программа Ясно и поддержка руководства во время мобилизации","Отсутствие курилки, постоянные сложности с бытовыми штуками - на кухне нет мыла, на кофепоинте оно сломано уже месяц. Кофе на кофепоинте другое, чем на кухне (невкусное). Про кофепоинт около маркетинга отдельно - там всегда пахнет, стоит ведро с помоями. Соки постоянно заканчиваются, маленький холодильник.",Непрозрачность работы других отделов,"Спасибо за опрос, не увольняйте меня за него)"
2022-12-02 16:04:09,Респондент 143,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,"Для меня решающим оказалась возможность перейти в солар с началом мобилизации и полноценно работать удаленно из другой страны в безопасности без каких бы то ни было ограничений. В тот момент в сентябре-октябре я был в полном смятении, но когда узнал про эту возможность, выбор стал очевиден где продолжать работу. Большое человеческое спасибо за это","Слабая помощь в начале работы удаленным сотрудникам, особенно джунам-программистам (вроде бы такие удаленщики сейчас тоже есть). Хорошо представляю через какие грабли им пришлось пройти. Для меня это давно пройденный этап, но я бы с удовольствием помог им быстрее влиться в работу и не наступать на все те же грабли, через которые я прошел сам. Думаю, это может сильно тормозить их развитие в первые несколько месяцев работы. За все время мне написано 0 человек с подобными вопросами. Ну они, вероятно, и не знают, что у нас в компании есть те, кто уже прошел через все это и может помочь. А жаль.

Помимо этого, наверное, очень слабая коммуникация между разными отделами. Например, я имею не очень хорошее представление о том чем занимаются в слотах или еще лучше в ДругВокруг. Считаю, что было бы неплохо иногда проводить презентации чтобы разные команды (удаленщиков в первую очередь) лучше представляли чем занимаются на нашей работе в других отделах. Это еще и полезно, потому что иногда случаются переводы из одного в другой (как минимум я знаю об одном таком). Ну а если тебя, например, из Покера внезапно переведут в Слоты, то в этом случае было бы полезно знать изначально чем они там занимаются и чем их подходы вообще отличаются от тех, с которыми ты знаком и к которым привык (а они отличаются)","Один чисто технический аспект, с которым я столкнулся на последнем крупном таске: не хватает серверов для разработчиков и тестеров. Например, уже около недели мы делим один-единственный сервер с тестерами, которые пока заняты своей работой, это стопорит нашу (и полагаю наоборот). Было бы неплохо всегда иметь чисто свой независимый от тестеров сервер, чтобы не мешать друг другу выполнять свою работу",
2022-12-05 16:26:16,Респондент 168,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Пирожинки на кухне,Нет кресел-мешков. Мне не нравится ДМС,Далеко ходить на кухню,Буль-буль
2022-11-30 17:04:18,Респондент 20,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Да,,Новый офис не очень нравится. В целом старый был лушче. Сюда ехать дольше и путь не очень в сравнее с тем.,,
2022-12-05 13:32:38,Респондент 167,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,,не всегда четкие задачи,"большое количество проектных знаний, недоступных пока не поговоришь с нужным человеком",
2022-11-30 17:15:58,Респондент 19,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,"Новый офис, ДМС, индексация зп в марте, поддержка в период мобилизации, летний корпоратив","Фиксированный отпуск, малое количество поводов собираться всей компанией и общаться
Отсутствие возможности работать удаленно хотя бы неделю в месяц",Неудобный стул,"Что хотелось бы:
1. Брать отпуск тогда, когда я хочу, хотя бы летом. Зимний пусть остается.
2. Брать несколько дней в неделю и работать удаленно. Хотя бы даже с каким-то лимитом. Я хотел бы уехать в другой город на неделю, но при этом добросовестно работать. Или в четверг вечером уехать без пробок за город, один день поработать удаленно. 
3. Организация или компенсация питания. Столовка внизу убогая, с тараканами. Заказывать что-то каждый день очень накладно
4. Зона развлечений в офисе (настольный футбол / бильярд)
5. За последний год цены на спортзал выросли в 1.5 - 2 раза, а компенсация так и осталась 19к
6. Проводить компанией вылазки в бар / посиделки в офисе после работы
7. Чтобы обновляли портал почаще)"
2022-12-02 12:52:15,Респондент 113,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,"Очень хочется комнату здоровья). Для маленьких двух-трёх-минутных разминок несколько раз в день  :3 
Ребята поймут о чём я, уже подходил лично.",Много free печенек - мало free брокколи :D,Нет,"Кама - топ в Москве, Райан Гослинг - топ в Голивуде. Для всего остального есть мастеркард (мир*)).  
Кто согласен, плотный салам. "
2022-12-05 12:02:24,Респондент 156,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,,,,
2022-12-02 13:23:58,Респондент 49,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,,"Страна пребывания, новый офис (не сам офис, а потеря плюшек из старого), наступивший хаос в процессах.",,"Ужасный опрос. Но не смотря на общий негативный посыл предыдущих ответов, хотелось бы положительно отметить поддержку во время мобилизации и связанной с ней истерикой. Юридической и психологической. Всё было своевременно и оперативно. Также положительно отмечу готовность компании не бросать тех, кто решил уехать, а доступными способами продолжать сотрудничество.
В будущем хотелось бы, чтобы опрос был полностью неперсонифицированным."
2022-12-05 11:33:02,Респондент 55,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
